seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
 1	UNC  	26	 0	  1	98.781	 1	100.000	 1	100.000	 1	9.819	 2	65.21	 1	87.725	 2	325	 1
 2	TEX  	25	 1	  2	98.081	 2	 97.973	 2	 98.435	 2	9.379	 1	65.59	 2	79.309	 3	312	 2
 3	UGA  	20	 1	  3	96.874	 3	 94.007	 3	 97.805	 3	9.288	 3	64.69	 3	73.765	 4	299	 3
 4	UCLA 	19	 4	  4	95.232	 7	 85.423	 4	 92.977	 4	8.846	 5	64.40	 4	61.622	 5	280	 5
 5	PEPP 	20	 3	  5	94.928	 6	 85.860	 6	 92.643	 5	8.707	 4	64.63	 5	60.458	 6	276	 4
 6	NCST 	16	 5	  7	91.766	10	 84.273	11	 91.646	 6	8.363	 9	62.99	 6	56.151	12	197	 6
 7	FSU  	16	 5	  8	90.902	 9	 84.487	10	 91.814	 9	8.166	10	62.71	 7	55.387	13	181	 7
 8	BAY  	23	 4	  6	92.339	 4	 89.865	 7	 92.436	12	8.059	 8	63.14	 8	52.726	 9	204	 8
 9	UCF  	18	 4	 11	89.068	12	 83.848	12	 91.408	10	8.121	16	62.03	 9	52.032	10	203	 9
10	A&M  	19	 7	 14	84.857	14	 83.428	15	 90.859	23	7.765	21	61.70	10	50.255	18	129	10
11	FLA  	12	 7	 17	83.801	20	 82.705	16	 90.473	21	7.769	11	62.70	12	48.690	22	 86	15
12	LSU  	14	 5	 22	80.533	18	 82.923	21	 90.279	22	7.766	26	61.48	14	48.116	25	 55	14
13	GT   	18	10	 16	84.007	16	 83.313	20	 90.340	18	7.830	24	61.54	11	48.832	16	148	11
14	UVA  	14	 6	 10	89.489	11	 84.028	 9	 91.876	 7	8.250	13	62.41	13	48.309	11	202	11
15	OSU  	21	 3	  9	90.443	 5	 85.866	 5	 92.947	 8	8.220	25	61.53	16	46.778	 7	249	13
16	CAL  	17	 6	 15	84.202	17	 82.988	17	 90.466	14	8.012	15	62.15	17	45.980	14	170	17
