seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 1	UNC  	Sara Daavettila              	17	 1	  1	99.770	  1	100.000	  4	 99.252	  1	9.144	  8	10.96	  2	64.167	400079	337265	  46642
 1	UNC  	Alexa Graham                 	12	 2	  7	98.851	 10	 96.727	  8	 97.800	 11	8.449	  6	11.07	 38	15.028	411298	337263	  39501
 1	UNC  	Fiona Crawley                	29	 0	 18	97.935	 18	 95.825	 31	 95.649	  6	8.734	 34	10.75	 33	16.886	564453	337044	1609669
 1	UNC  	Makenna Jones                	15	 2	 30	97.021	 25	 95.270	 49	 94.829	 15	8.348	 44	10.65	 29	18.391	419691	337045	1500488
 1	UNC  	Cameron Morra                	15	 6	 35	96.681	 43	 94.377	 28	 95.941	 41	7.984	 34	10.75	 24	20.000	488643	337267	  94694
 1	UNC  	Elizabeth Scotty             	14	 3	 41	96.097	 44	 94.280	 41	 95.127	 34	8.090	 18	10.84	 82	 5.927	520732	337039	  70039
 1	UNC  	Reilly Tran                  	17	 0	 71	92.288	 80	 92.650	 98	 92.993	 25	8.232	145	10.21	 96	 4.914	564465	337046	2588539
 1	UNC  	Anika Yarlagadda             	13	 1	 83	91.515	 79	 92.680	106	 92.850	 52	7.820	111	10.34	 91	 5.389	510762	337043	  95680
 1	UNC  	Alle Sanford                 	 5	 2	247	74.812	275	 87.542	284	 88.663	227	6.744	215	 9.99	266	 2.103	448680	337041	1872200
 1	UNC  	Kacie Harvey                 	 3	 1	350	65.907	382	 84.747	362	 86.925	329	6.095	255	 9.77	397	 1.485	510761	337038	 223145
 1	UNC  	Sara McClure                 	 0	 1	481	55.070	539	 63.984	412	 84.981	   	     	387	 9.04	   	      	564464	      	  96425
 1	UNC  	Sophia Patel                 	 0	 2	498	53.938	539	 63.984	548	 66.061	428	5.445	408	 8.87	   	      	486925	337040	1620214
 2	TEX  	Lulu Sun                     	20	 2	 10	98.624	 20	 95.666	 27	 95.947	 16	8.339	  1	11.40	 57	 9.341	562075	337206	2031220
 2	TEX  	Charlotte Chavatipon         	26	 1	 14	98.231	 15	 96.352	 25	 95.999	  7	8.658	 10	10.92	 66	 7.865	562071	336664	  96391
 2	TEX  	Anna Turati                  	18	 3	 16	98.032	 24	 95.307	 16	 96.623	 20	8.276	 12	10.91	 32	17.309	459000	337207	  64382
 2	TEX  	Peyton Stearns               	14	 7	 21	97.771	 29	 95.100	 20	 96.484	 31	8.133	  9	10.95	 34	16.379	562074	336655	2588012
 2	TEX  	Kylie Collins                	17	 2	 40	96.178	 46	 94.067	 63	 94.176	 22	8.258	 20	10.83	 64	 8.042	564774	337208	2154945
 2	TEX  	Malaika Rapolu               	25	 2	 70	92.344	 63	 93.133	 96	 93.007	 49	7.837	 71	10.46	125	 3.640	562073	336666	 129177
 2	TEX  	Fernanda Labraña             	22	 2	 73	92.149	 55	 93.698	100	 92.987	 62	7.741	 81	10.42	108	 4.276	424273	336661	1742438
 2	TEX  	Marta Perez-Mur              	 9	 2	190	80.776	189	 89.798	195	 90.871	214	6.825	203	10.02	164	 2.887	440885	336662	2587908
 2	TEX  	Tijana Spasojevic            	 1	 0	451	57.779	455	 81.084	508	 79.391	381	5.790	379	 9.10	   	      	486164	341739	 154107
 2	TEX  	Gabby Cusano                 	 1	 7	497	54.003	502	 77.703	491	 80.518	444	5.311	468	 8.14	   	      	513072	336659	1970164
 2	TEX  	Simran Kortikere             	 0	 8	547	49.931	554	 63.701	538	 75.330	519	3.994	506	 7.23	   	      	562072	336668	 104782
 3	UGA  	Katarina Jokic               	25	 1	  3	99.707	  3	 99.747	  2	 99.691	  3	8.888	  3	11.29	  4	60.556	419539	336778	2583619
 3	UGA  	Meg Kowalski                 	23	 2	 17	97.982	 23	 95.382	 29	 95.896	  9	8.502	 31	10.76	 18	23.727	487384	336782	1708886
 3	UGA  	Lea Ma                       	16	 4	 27	97.251	 22	 95.391	 17	 96.606	 28	8.194	 30	10.77	 50	11.138	513316	337324	1905240
 3	UGA  	Marta Gonzalez               	13	 1	 49	95.128	 50	 93.914	 73	 93.766	 32	8.101	 50	10.61	 47	11.706	410824	336775	2687357
 3	UGA  	Morgan Coppoc                	25	 6	 57	93.993	 75	 92.909	 72	 93.774	 57	7.786	 41	10.67	 62	 8.658	398734	336773	1531529
 3	UGA  	Eleni Christofi              	18	 4	166	83.133	174	 90.239	185	 91.087	138	7.230	127	10.29	242	 2.361	397208	336764	  94453
 3	UGA  	Anna Hertel                  	10	 4	231	76.838	170	 90.410	172	 91.385	179	7.035	   	     	244	 2.333	522068	336784	1742422
 3	UGA  	Ariana Arsenault             	 6	 5	274	72.905	287	 87.237	290	 88.522	312	6.240	163	10.16	345	 1.765	561619	336762	1763423
 3	UGA  	Alee Clayton                 	 8	 3	283	71.469	306	 86.907	319	 87.850	300	6.296	318	 9.47	203	 2.534	487383	336779	 113339
 4	UCLA 	Abigail Forbes               	20	 2	  4	99.705	  4	 99.358	  1	100.000	  2	9.019	  4	11.21	  7	46.463	512054	337617	1682354
 4	UCLA 	Jada Hart                    	11	 2	 15	98.059	 14	 96.367	 13	 97.124	 21	8.262	 16	10.87	 45	12.214	413959	338608	2612442
 4	UCLA 	Elysia Bolton                	10	 3	 48	95.503	 40	 94.581	 36	 95.420	 43	7.965	 27	10.78	110	 4.202	489254	337619	  77017
 4	UCLA 	Vivian Wolff                 	11	 6	 99	89.846	 85	 92.520	 87	 93.292	 74	7.633	 72	10.45	274	 2.064	564429	338609	  74107
 4	UCLA 	Annette Goulak               	17	 3	106	89.410	103	 91.840	170	 91.415	 69	7.689	 66	10.50	167	 2.879	512056	337679	  76910
 4	UCLA 	Abi Altick                   	 4	 3	155	83.895	195	 89.763	167	 91.463	154	7.151	 57	10.57	379	 1.593	385396	339115	 947384
 4	UCLA 	Alexandra Vagramov           	 9	 5	161	83.467	116	 91.495	156	 91.664	146	7.193	187	10.07	250	 2.239	512057	339117	1912195
 4	UCLA 	Vanessa Ong                  	 5	 1	178	82.009	138	 91.008	214	 90.382	177	7.036	121	10.31	298	 1.951	564428	337620	2062589
 4	UCLA 	Taylor Johnson               	 5	 1	242	75.142	279	 87.468	304	 88.175	194	6.927	209	10.00	276	 2.060	498065	339118	 205639
 5	PEPP 	Jessica Failla               	16	 3	  8	98.838	  7	 97.331	  6	 97.905	 38	8.025	  7	11.03	 19	23.380	405704	337646	1529701
 5	PEPP 	Ashley Lahey                 	11	 4	 20	97.812	  9	 96.772	 14	 97.104	 27	8.197	 22	10.82	 67	 7.797	424436	337681	 260415
 5	PEPP 	Taisya Pachkaleva            	24	 1	 28	97.208	 12	 96.447	 34	 95.621	 36	8.078	 15	10.88	 77	 6.371	564448	337647	 245349
 5	PEPP 	Shiori Fukuda                	17	 4	 53	94.772	 39	 94.594	 42	 94.999	 63	7.725	 39	10.68	 97	 4.883	564446	337682	  86312
 5	PEPP 	Lisa Zaar                    	20	 1	 77	91.950	 65	 93.108	135	 92.236	 65	7.707	 57	10.57	104	 4.468	514467	338409	2621757
 5	PEPP 	Lexi Ryngler                 	 3	 5	227	77.033	220	 89.123	213	 90.433	212	6.837	160	10.17	   	      	564447	337684	2668046
 5	PEPP 	Nikki Redelijk               	13	 7	239	75.463	228	 88.778	235	 89.913	249	6.594	209	10.00	319	 1.873	565228	337648	  96353
 5	PEPP 	Astrid Brune Olsen           	 6	 1	260	73.907	361	 85.472	339	 87.434	278	6.441	176	10.11	202	 2.539	514453	341602	2627013
 6	NCST 	Anna Rogers                  	19	 8	 12	98.535	 16	 96.210	 15	 97.092	 26	8.222	 18	10.84	  6	48.188	446522	337001	2564385
 6	NCST 	Alana Smith                  	18	 8	 45	95.612	 61	 93.347	 53	 94.636	 47	7.868	 51	10.60	 21	22.321	486136	336993	2548608
 6	NCST 	Adriana Reami                	18	10	 86	90.934	 95	 92.177	 84	 93.334	 81	7.587	 81	10.42	117	 4.000	444430	336992	  41504
 6	NCST 	Abigail Rencheli             	15	 5	121	88.053	146	 90.807	187	 91.039	 91	7.517	138	10.26	 71	 7.116	564363	337002	2103268
 6	NCST 	Jaeda Daniel                 	16	10	141	85.586	155	 90.668	150	 91.832	113	7.333	 74	10.44	320	 1.872	511267	336988	1972909
 6	NCST 	Lana Mavor                   	 6	 0	180	81.875	227	 88.953	240	 89.824	131	7.246	203	10.02	135	 3.429	510773	336999	1033845
 6	NCST 	Lexi Keberle                 	16	 8	205	78.927	202	 89.525	221	 90.171	157	7.129	167	10.15	355	 1.706	511268	336990	2516998
 6	NCST 	Amelia Rajecki               	 6	 5	255	74.387	270	 87.788	264	 89.074	210	6.843	228	 9.93	323	 1.858	564362	337003	1095795
 6	NCST 	Liz Norman                   	 3	 1	318	68.503	318	 86.631	303	 88.180	302	6.291	265	 9.72	   	      	486138	336998	1880716
 7	FSU  	Giulia Pairone               	13	 9	 25	97.323	 32	 94.977	 22	 96.381	 44	7.934	 37	10.70	 12	30.674	564449	337323	  11197
 7	FSU  	Petra Hule                   	16	 3	 87	90.910	 72	 92.922	116	 92.628	 61	7.753	 87	10.41	140	 3.244	417237	337329	2683216
 7	FSU  	Victoria Allen               	15	 5	 92	90.260	 94	 92.250	 99	 92.988	 54	7.812	107	10.35	163	 2.897	511618	337326	2514924
 7	FSU  	Emmanuelle Salas             	 7	12	 95	90.043	143	 90.896	123	 92.415	156	7.130	 87	10.41	 41	14.348	485585	337325	  83967
 7	FSU  	Andrea Garcia                	20	 3	128	87.311	157	 90.634	183	 91.097	100	7.457	107	10.35	107	 4.280	408876	337334	 366328
 7	FSU  	Nandini Das                  	14	 8	135	86.539	128	 91.229	118	 92.624	117	7.315	122	10.30	205	 2.522	400527	337328	2058705
 7	FSU  	Anna Arkadianiou             	 4	 5	189	80.889	182	 89.929	168	 91.458	170	7.068	122	10.30	   	      	564846	337327	2611168
 7	FSU  	Alice Amendola               	 2	 3	367	65.001	376	 84.914	388	 86.121	367	5.874	244	 9.84	   	      	521176	337333	2633734
 7	FSU  	Lara Schneider               	 1	 2	486	54.476	406	 83.819	433	 84.050	   	     	   	     	   	      	564847	      	 100342
 8	BAY  	Mel Krywoj                   	19	11	 62	93.038	 76	 92.866	 60	 94.357	 98	7.468	 60	10.56	 61	 8.774	509796	336630	2523246
 8	BAY  	Livia Kraus                  	25	 4	 76	91.961	 83	 92.563	 91	 93.108	 59	7.756	 81	10.42	 93	 5.290	423464	336643	 103533
 8	BAY  	Alicia Herrero-Linana        	19	13	123	87.874	131	 91.208	114	 92.690	129	7.249	 81	10.42	168	 2.867	509795	336633	2540860
 8	BAY  	Jessica Hinojosa             	16	15	157	83.737	148	 90.795	151	 91.784	222	6.788	182	10.09	126	 3.618	415776	336646	 393785
 8	BAY  	Angelina Shakhraichuk        	25	12	167	83.064	137	 91.020	158	 91.637	141	7.207	144	10.22	317	 1.881	450932	336641	2624249
 8	BAY  	Paula Baranano               	13	 4	200	79.628	163	 90.514	182	 91.149	110	7.378	   	     	206	 2.519	497948	338980	1919663
 8	BAY  	Audrey Boch-Collins          	17	 3	225	77.123	196	 89.726	186	 91.054	168	7.083	   	     	196	 2.606	562077	336627	2558456
 8	BAY  	Kristina Sorokolet           	19	 6	226	77.048	222	 89.037	233	 89.926	208	6.849	200	10.03	296	 1.953	453617	336638	1972854
 8	BAY  	Anastasia Kharitonova        	 2	 3	453	57.655	453	 81.111	425	 84.421	398	5.665	442	 8.56	   	      	512868	336636	2464042
