time	round	division	title	status	score	file	liveStats	video	boxScore	recap	photos	quotes
2021-05-07T10:00-04:00	1st         	Women	Arkansas vs <b>Old Dominion</b>                   	final	4-2       	../ncaaw/matches/R1_3-4_ARK_vs_ODU						
2021-05-07T10:00-04:00	1st         	Men  	Florida Gulf Coast vs <b>N.C. State</b>           	final	0-0       	../ncaam/matches/R1_27-28_FGCU_vs_NCST						
2021-05-07T10:00-04:00	1st         	Women	Furman vs <b>Wake Forest</b>                      	final	4-2       	../ncaaw/matches/R1_35-36_FUR_vs_WAKE						
2021-05-07T10:00-04:00	1st         	Men  	Michigan vs <b>Arizona</b>                        	final	4-3       	../ncaam/matches/R1_37-38_MICH_vs_ARIZ	http://www.sidearmstats.com/ukentucky/tennis/xlive.htm					
2021-05-07T10:00-04:00	1st         	Women	<b>USC</b> vs Oklahoma                            	final	4-3       	../ncaaw/matches/R1_43-44_USC_vs_OKLA						
2021-05-07T11:00-04:00	1st         	Women	Ball State vs <b>Vanderbilt</b>                   	final	4-0       	../ncaaw/matches/R1_59-60_BALL_vs_VANDY						
2021-05-07T11:00-04:00	1st         	Women	<b>Iowa State</b> vs South Carolina               	final	4-2       	../ncaaw/matches/R1_45-46_ISU_vs_SCAR						
2021-05-07T11:00-04:00	1st         	Women	<b>North Florida</b> vs Ole Miss                  	final	4-3       	../ncaaw/matches/R1_27-28_UNF_vs_MISS						
2021-05-07T11:00-04:00	1st         	Women	Rice vs <b>Michigan</b>                           	final	4-1       	../ncaaw/matches/R1_21-22_RICE_vs_MICH						
2021-05-07T12:00-04:00	1st         	Men  	Denver vs <b>Oklahoma</b>                         	final	4-1       	../ncaam/matches/R1_13-14_DEN_vs_OKLA						
2021-05-07T12:00-04:00	1st         	Women	Florida International vs <b>Miami (FL)</b>        	final	4-0       	../ncaaw/matches/R1_11-12_FIU_vs_MIA						
2021-05-07T12:00-04:00	1st         	Women	James Madison vs <b>Tennessee</b>                 	final	4-0       	../ncaaw/matches/R1_37-38_JMU_vs_TENN						
2021-05-07T13:00-04:00	1st         	Women	Austin Peay at <b>#3 Georgia</b>                  	final	4-0       	../ncaaw/matches/R1_33-34_PEAY_vs_UGA						
2021-05-07T13:00-04:00	1st         	Men  	Cleveland State at <b>#14 Kentucky</b>            	final	4-1       	../ncaam/matches/R1_39-40_CLEV_vs_UK						
2021-05-07T13:00-04:00	1st         	Women	Drake vs <b>#10 Texas A&M</b>                     	final	4-0       	../ncaaw/matches/R1_55-56_DRKE_vs_AM						
2021-05-07T13:00-04:00	1st         	Women	Grand Canyon at <b>#4 UCLA</b>                    	final	4-0       	../ncaaw/matches/R1_31-32_GCU_vs_UCLA						
2021-05-07T13:00-04:00	1st         	Women	Mississippi State vs <b>Arizona State</b>         	final	4-0       	../ncaaw/matches/R1_61-62_MSST_vs_AZST						
2021-05-07T13:00-04:00	1st         	Women	Oklahoma State vs <b>Auburn</b>                   	final	4-2       	../ncaaw/matches/R1_51-52_OKST_vs_AUB						
2021-05-07T13:00-04:00	1st         	Women	Siena at <b>#11 Florida</b>                       	final	4-0       	../ncaaw/matches/R1_41-42_SIEN_vs_FLA						
2021-05-07T13:00-04:00	1st         	Women	S.C. State at <b>#1 North Carolina</b>            	final	4-0       	../ncaaw/matches/R1_1-2_SCST_vs_UNC						
2021-05-07T13:00-04:00	1st         	Women	Syracuse vs <b>Kentucky</b>                       	final	4-3       	../ncaaw/matches/R1_5-6_SYR_vs_UK						
2021-05-07T13:00-04:00	1st         	Men  	UC Santa Barbara vs <b>Pepperdine</b>             	final	4-1       	../ncaam/matches/R1_21-22_UCSB_vs_PEPP						
2021-05-07T13:00-04:00	1st         	Women	UC Santa Barbara vs <b>Stanford</b>               	final	4-0       	../ncaaw/matches/R1_19-20_UCSB_vs_STAN						
2021-05-07T13:00-04:00	1st         	Men  	UNC Wilmington at <b>#13 South Carolina</b>       	final	4-0       	../ncaam/matches/R1_25-26_UNCW_vs_SCAR						
2021-05-07T14:00-04:00	1st         	Women	Boston University at <b>#12 LSU</b>               	final	4-0       	../ncaaw/matches/R1_23-24_BU_vs_LSU						
2021-05-07T14:00-04:00	1st         	Women	Georgia Southern at <b>#13 Georgia Tech</b>       	final	4-0       	../ncaaw/matches/R1_25-26_GASO_vs_GT						
2021-05-07T14:00-04:00	1st         	Women	Illinois - Chicago at <b>#15 Ohio State</b>       	final	4-0       	../ncaaw/matches/R1_57-58_UIC_vs_OSU						
2021-05-07T14:00-04:00	1st         	Women	VCU at <b>#6 N.C. State</b>                       	final	4-0       	../ncaaw/matches/R1_47-48_VCU_vs_NCST						
2021-05-07T14:00-04:00	1st         	Men  	VCU vs <b>Ohio State</b>                          	final	4-1       	../ncaam/matches/R1_53-54_VCU_vs_OSU						
2021-05-07T14:00-04:00	1st         	Men  	Western Michigan vs <b>Notre Dame</b>             	final	4-1       	../ncaam/matches/R1_5-6_WMU_vs_ND						
2021-05-07T15:00-04:00	1st         	Women	Alabama vs <b>Duke</b>                            	final	4-0       	../ncaaw/matches/R1_13-14_BAMA_vs_DUKE						
2021-05-07T15:00-04:00	1st         	Women	Charleston Southern at <b>#9 Central Florida</b>  	final	4-0       	../ncaaw/matches/R1_9-10_CHSO_vs_UCF						
2021-05-07T15:00-04:00	1st         	Women	Long Island at <b>#14 Virginia</b>                	final	4-0       	../ncaaw/matches/R1_39-40_LIU_vs_UVA						
2021-05-07T15:00-04:00	1st         	Men  	New Mexico at <b>#8 Texas A&M</b>                 	final	4-1       	../ncaam/matches/R1_15-16_UNM_vs_AM						
2021-05-07T16:00-04:00	1st         	Women	Alabama State at <b>#7 Florida State</b>          	final	4-0       	../ncaaw/matches/R1_49-50_ALST_vs_FSU						
2021-05-07T16:00-04:00	1st         	Women	Denver at <b>#2 Texas</b>                         	final	4-0       	../ncaaw/matches/R1_63-64_DEN_vs_TEX						
2021-05-07T16:00-04:00	1st         	Men  	Grand Canyon at <b>#12 USC</b>                    	final	4-0       	../ncaam/matches/R1_23-24_GCU_vs_USC						
2021-05-07T16:00-04:00	1st         	Women	San Diego vs <b>Texas Tech</b>                    	final	4-0       	../ncaaw/matches/R1_29-30_USD_vs_TTU						
2021-05-07T16:00-04:00	1st         	Women	San Jose State at <b>#16 California</b>           	final	4-0       	../ncaaw/matches/R1_7-8_SJSU_vs_CAL						
2021-05-07T16:00-04:00	1st         	Women	Xavier at <b>Northwestern</b>                     	final	4-0       	../ncaaw/matches/R1_53-54_XAV_vs_NW						
2021-05-07T17:00-04:00	1st         	Men  	DePaul at <b>#16 Illinois</b>                     	final	4-1       	../ncaam/matches/R1_7-8_DEP_vs_ILL						
2021-05-07T17:00-04:00	1st         	Women	Northern Arizona at <b>#5 Pepperdine</b>          	final	4-0       	../ncaaw/matches/R1_17-18_NAU_vs_PEPP						
2021-05-07T17:00-04:00	1st         	Men  	S.C. State at <b>#10 Wake Forest</b>              	final	4-0       	../ncaam/matches/R1_55-56_SCST_vs_WAKE						
2021-05-07T18:00-04:00	1st         	Women	A&M-Corpus Christi at <b>#8 Baylor</b>            	final	4-0       	../ncaaw/matches/R1_15-16_TAMCC_vs_BAY						
