time	round	division	title	status	score	file	liveStats	video	boxScore	photos	quotes
2021-05-09T12:00-04:00	2nd         	Men  	<b>Mississippi State</b> at #9 Central Florida    	final	4-2       	../ncaam/matches/R2_9-12_MSST_vs_UCF	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=76				
2021-05-09T12:00-04:00	2nd         	Men  	Stanford at <b>#5 Virginia</b>                    	final	4-2       	../ncaam/matches/R2_17-20_STAN_vs_UVA	http://stats.statbroadcast.com/broadcast/?id=350363				
2021-05-09T13:00-04:00	2nd         	Men  	Memphis at <b>#3 Tennessee</b>                    	final	4-0       	../ncaam/matches/R2_33-36_MEM_vs_TENN	http://www.sidearmstats.com/utennessee/mten/				
2021-05-09T13:00-04:00	2nd         	Men  	Northwestern at <b>#4 Texas</b>                   	final	4-0       	../ncaam/matches/R2_29-32_NW_vs_TEX	http://sidearmstats.com/texas/mtennis/xlive.htm				
2021-05-09T13:00-04:00	2nd         	Men  	Oklahoma State at <b>#6 North Carolina</b>        	final	4-0       	../ncaam/matches/R2_45-48_OKST_vs_UNC	http://stats.statbroadcast.com/statmonitr/?id=350570				
2021-05-09T13:00-04:00	2nd         	Men  	Texas Tech at <b>#11 Georgia</b>                  	final	4-0       	../ncaam/matches/R2_41-44_TTU_vs_UGA	https://georgiadogs.com/sports/2017/6/17/sports-m-tennis-spec-rel-vid-stream-html.aspx				
2021-05-09T14:00-04:00	2nd         	Men  	Arizona State at <b>#7 TCU</b>                    	final	4-1       	../ncaam/matches/R2_49-52_AZST_vs_TCU	https://www.sidearmstats.com/tcu/mten/xlive.htm				
2021-05-09T14:00-04:00	2nd         	Men  	South Florida at <b>#1 Florida</b>                	final	4-0       	../ncaam/matches/R2_1-4_USF_vs_FLA	https://sidearmstats.com/florida/mten/				
2021-05-09T14:00-04:00	2nd         	Men  	Tulane at <b>#15 Ole Miss</b>                     	final	4-0       	../ncaam/matches/R2_57-60_TULN_vs_MISS	http://stats.statbroadcast.com/statmonitr/?id=350592				
2021-05-09T15:00-04:00	2nd         	Men  	Oregon at <b>#2 Baylor</b>                        	final	4-0       	../ncaam/matches/R2_61-64_ORE_vs_BAY	http://www.sidearmstats.com/baylor/mten/				
